Issue ID,Rule ID,Screen,URL,Issue Frequency,Assistive Technology Combination,Summary,Steps to Reproduce,Actual Result,Expected Result,Screenshot,WCAG Success Criteria,WCAG Conformance Level,Functional Impact,Accessibility Impact / Severity,Instances,Disability Affected,Recommendation,QA Status,QA Comment,QA Screencast,QA Recommendation,,,,
53,man-key-8,Favorite Player Flow > Add Player,https://www.pgatour.com/,Individual,Windows/ Chrome,Keyboard Trap,"1. Go to the URL.
2. Navigate into hadder region After login go to my profile and Select ""manage Profile"" Button.
3. Navigate through the modal window with the keyboard until you reach the ""Favorite Players"" Link and press enter key.
4. Navigate through the modal window with the keyboard until you reach the ""Find a player"" Edit field .","Keyboard focus eventually gets stuck during keyboard navigation making it impossible to continue.

It is important to allow complete navigation using only keyboard for people with motor disabilities or non visual users that can't use the mouse to navigate the page.",Focus moves through keyboard navigable elements without getting stuck.,https://www.screencast.com/t/kbGlKWTtJrR,2.1.2,A,High,High,,"Visual, Cognitive, Physical","This issue could be a result of combining different coding languages, plugins or other embedded applications and it can be avoided by using one of the following mechanisms to provide a way for users to escape the subset of the content:

a. Ensuring that the keyboard function for advancing focus within content (commonly the TAB key) exits the subset of the content after it reaches the final navigation location.

b. Providing a keyboard function to move focus out of the subset of the content. Make sure to document the feature in an accessible manner within the subset.

c. If the technology used in the subset of the content natively provides a ""move to parent"" keyboard command, then documenting that command before the user enters the plug-in so they know how to get out again.

Refer to:
https://www.w3.org/TR/UNDERSTANDING-WCAG20/keyboard-operation-trapping.html",Open,,,,,,,
54,man-sr-51,(Login) Notification Settings,https://www.pgatour.com/,Global,"Windows/ Chrome/ NVDA
macOS/ Safari/ VoiceOver",Legend text not associated with radio buttons,"1. Go to the URL. 
2. Select button ""Manage Profile"" from the user profile dropdown.
3. Navigate through the modal window with the keyboard until you reach the ""Notification Settings"" tab and select it. 
4. Press ctrl+r.
5. In the updated tab ""Notification Settings"", notice that legend is not associated with radio Button.",Related controls highlighted are not grouped.,The elements are read as a group.,https://www.screencast.com/t/sJ607Bjph,3.3.2,A,High,High,,"Visual, Cognitive, Physical","Associate the related controls with <fieldset> and <legend> tags or using aria attributes.

Refer to:
https://www.w3.org/WAI/tutorials/forms/grouping/
https://www.w3.org/TR/WCAG20-TECHS/ARIA17.html
",Open,,,,,,,
55,man-sr-51,(Login) Notification Settings,https://www.pgatour.com/,Global,"Windows/ Chrome/ NVDA
macOS/ Safari/ VoiceOver",Legend text not associated with checkboxes,"1. Go to the URL.
2. Select button ""Manage Profile"" from the user profile dropdown.
3. Navigate through the modal window with the keyboard until you reach the tab ""Notification Settings"" and select it. 
4. Press ctrl+x 
5. Notice that legend is not associated with checkbox.",Related controls highlighted are not grouped.,The elements are read as a group.,https://www.screencast.com/t/O7WDL6uTmuPO,3.3.2,A,High,High,,"Visual, Cognitive, Physical","Associate the related controls with <fieldset> and <legend> tags or using aria attributes.

Refer to:
https://www.w3.org/WAI/tutorials/forms/grouping/
https://www.w3.org/TR/WCAG20-TECHS/ARIA17.html
",Open,,,,,,,
56,man-cc-3,(Login) Manage Profile Flow,https://www.pgatour.com/,Global,Windows/ Chrome,Insufficient color contrast,"1. Go to the URL.
2. Select button ""Manage Profile"" from the user profile dropdown.
3. Browse through the modal window until reaching elements ""Notification Settings, Favorite Players, Change Password, and Logout"".
4. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the elements ""Notification Settings, Favorite Players, Change Password, and Logout"" and its background is less than 4.5:1.","The color contrast ratio of  elements ""Notification Settings, Favorite Players, Change Password, and Logout""and its background is of at least 4.5:1.",https://www.screencast.com/t/0dog9wZf,1.4.3,AA,Low,High,The color combination used for the element reported on the screenshot was found several times on other similar elements.,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #377BAE
Background: #FFFFFF

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
57,man-cc-1,(Login) Manage Profile Flow,https://www.pgatour.com/,Individual,Windows/ Chrome,Insufficient non-text contrast,"1. Go to the URL.
2. Select button ""Manage Profile"" from the user profile dropdown.
3. Browse through the modal window until reaching ""Information icon"".
4. Open Colour Contrast Analyzer, select the dropper tool, click on the foreground section and select any pixel from the ""Information icon"".
5. Measure the contrast ratio between the ""Information icon"" and the background color.","The color contrast ratio between the ""Information icon"" and its background is less than 3.0:1.","The color contrast ratio between the ""Information icon"" and its background is of at least of 3.0:1.",https://www.screencast.com/t/YOKx4S4nZVw,1.4.11,AA,Low,High,,Visual,"Make sure that the element has a contrast ratio of at least 3.0:1.

Good color option:
Foreground: #FFFFFF
Background: #2AA2B2

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)",Open,,,,,,,
58,man-sr-28,(Login) Manage Profile Flow,https://www.pgatour.com/,Individual,"Windows/ Chrome/ NVDA
macOS/ Safari/ VoiceOver",Incorrect role for control defined,"1. Go to the URL.
2. Select button ""Manage Profile"" from the user profile dropdown.
3. Navigate through the website until reaching ""Manage Profile"".
4. Notice that ""Manage Profile"" has incorrect role.","The screen reader announces the current elements ""Manage Profile, Notification Settings, Favorite Players, and Change Password"" as a link.","The screen reader announces the current elements ""Manage Profile, Notification Settings, Favorite Players, and Change Password"" as a tab.","https://www.screencast.com/t/fakF0j7Zehl 

https://www.screencast.com/t/LklJ4mAcc ",4.1.2,A,Low,Critical,"1.PGA Tour- Player Details:  A similar issue is observed with  tab ""Season, Career, Tournament, Majors"" under heading ""Performance""","Visual, Cognitive","1. Add role=""tablist"" and aria-label attribute to the tabs container.
2. The tabs should be a <button> tag or have role=""button"" and type=""button"" properties.
3. Each tab must have the following properties:
       role=""tab""
       aria-selected=""true/false"". The first tab should have this value set to ""true"".
       aria-controls=""ID_TABPANEL""
       id=""ID_TAB""
4. While having the aria-selected attribute set to none, the button must have an tabindex attribute set to ""-1""
5. For the tabpanel use the following attributes:
      tabindex=""0""
       role=""tabpanel""
       id=""ID_TABPANEL""
       aria-labelledby=""ID_TAB""
6. Use JS to add LEFT and RIGHT arrow keys interaction to navigate through the tabs

Refer to:
https://www.w3.org/TR/wai-aria-practices/examples/tabs/tabs-2/tabs.html",Open,,,,,,,
59,man-sr-16,PGA Tour – About,https://www.pgatour.com/company/aboutus.html,Global,"Windows/ Chrome/ NVDA
macOS/ Safari/ VoiceOver",Visually appearing heading not tagged as heading,"1. Go to the URL.
2. Navigate through the website until reaching text ""About Us"".
3. Notice that the screen reader announces it as plain text.","The screen reader announces text ""About Us"" as plain text.

This could potentially confuse the user since headings are designed to structure the information in the document.","The headings should be tagged in the below mentioned heading level:
1. Heading level 1: About us
2. Heading level 2: Mission, Headquarters, Overview, Eligibility, Membership, Impact, ..........etc","https://www.screencast.com/t/sG0LDx1kB

https://www.screencast.com/t/xoPZvjJk

https://www.screencast.com/t/CkMjawPHnTgJ",1.3.1,A,Low,High,"1. Leaderboard: A similar issue is observed with Headings ""LEGEND, Abbreviations, ACCEPTANCE OF TERMS, Don't Miss This"".
2. PGA Market Partners: A similar issue is observed with the heading for text ""ADOBE"", ""AON"", ""AVIS"", ""BH SPORTS"", ""BRIDGESTONE TIRE""........ etc. tag as heading level 2.
",Visual,"Instead of using a <b> tag, use a <h1> and <h2> tag  respectively to provide the proper context.

Refer to:
https://www.w3.org/WAI/WCAG21/Techniques/general/G141",Open,,,,,,,
60,man-sr-33,PGA Market Partners,https://www.pgatour.com/company/omps.html,Individual,"Windows/ Chrome/ NVDA
macOS/ Safari/ VoiceOver",Multiple heading level H1 on the page,"1. Go to the URL.
2. Navigate through the website using the H key.
3. Notice that there are multiple H1 headings on the page.","The screen reader identifies multiple h1 headings on the page while navigating with the screen reader. Also, all the headings on the page are captured as H1 headings",There is only one heading level 1 present on the website.,https://www.screencast.com/t/xV0Jjy6Mp3,1.3.1,A,Low,Low,,"Visual, Cognitive","1. Remove the unnecessary H1 headings from the page.
2. Make sure heading level should be structured in a hierarchical manner and to increase one level at the time.
E.g. <h1>, <h2> ... <h6>.

Refer to:
https://www.w3.org/WAI/tutorials/page-structure/headings/",Open,,,,,,,
61,man-sr-9,PGA Market Partners,https://www.pgatour.com/company/omps.html,Individual,"Windows/ Chrome/ NVDA
macOS/ Safari/ VoiceOver",Hidden content read by the screen reader,"1. Go to the URL.
2. Navigate the page using the screen reader until reaching ""main region"".
3. Listen to the screen reader announcing elements not present on the website.","The user reaches some hidden content when navigating with the screen reader.

This could potentially confuse the user due to the content's lack of relevance or it being repeated content.",The content that is not visually displayed on the page should not be reachable by the screen reader user.,"https://www.screencast.com/t/XkXrrWGgx

https://www.screencast.com/t/Kajdd9jkh1qH",1.3.1,A,Low,High,"1. Leaderboard > in navigation landmark until reach ""TOURNAMENT INFO"" > tab > notice
",Visual,"Ensure the content is hidden using the CSS display property set to ""none"".

Refer to:
https://css-tricks.com/inclusively-hidden/",Open,,,,,,,
62,man-sr-28,Tournament Tickets,https://www.pgatour.com/tournaments/tickets.html,Global,"Windows/ Chrome/ NVDA
macOS/ Safari/ VoiceOver",Incorrect role for control defined,"1. Go to the URL.
2. Navigate through the website until reaching tab ""PGA TOUR, CHAMPIONS, TOUR, KORN FERRY TOUR, and PGA TOUR CANADA"".
3. Notice that tab ""PGA TOUR, CHAMPIONS, TOUR, KORN FERRY TOUR, and PGA TOUR CANADA"" have incorrect role.","The screen reader announces the current elements ""PGA TOUR, CHAMPIONS, TOUR, KORN FERRY TOUR, and PGA TOUR CANADA"" as a ""tab"".","The screen reader announces the current elements ""PGA TOUR, CHAMPIONS, TOUR, KORN FERRY TOUR, and PGA TOUR CANADA"" as a ""link"".",https://www.screencast.com/t/SqmC6iZHGid,4.1.2,A,Low,High,Observation: This issue is reproducible with all similar links present in the application.,"Visual, Cognitive","1. Add role=""tablist"" and aria-label attribute to the tabs container.
2. The tabs should be a <button> tag or have role=""button"" and type=""button"" properties.
3. Each tab must have the following properties:
       role=""tab""
       aria-selected=""true/false"". The first tab should have this value set to ""true"".
       aria-controls=""ID_TABPANEL""
       id=""ID_TAB""
4. While having the aria-selected attribute set to none, the button must have an tabindex attribute set to ""-1""
5. For the tabpanel use the following attributes:
      tabindex=""0""
       role=""tabpanel""
       id=""ID_TABPANEL""
       aria-labelledby=""ID_TAB""
6. Use JS to add LEFT and RIGHT arrow keys interaction to navigate through the tabs

Refer to:
https://www.w3.org/TR/wai-aria-practices/examples/tabs/tabs-2/tabs.html",Open,,,,,,,
63,custom,Cookie Choice Flow,https://www.pgatour.com/,Individual,"Windows/ Chrome/ NVDA
iPhone/ Safari/ VoiceOver",Multiple role for control define,"1. Go to the URL.
2. Navigate through the website until reaching ""go to opt out form"" button.
3. Notice that ""go to opt out form"" button has incorrect role.","The screen reader announces the current element ""go to opt out form"" as a ""button, and link"".","The screen reader announces the current element ""go to opt out form"" as a ""link"".",https://www.screencast.com/t/MMnSmMUPKr7m,4.1.2,A,Low,High,,"Visual, Cognitive","Remove <button> tag from the element and use only <a> tag
",Open,,,,,,,
64,man-sr-60,"(Login) Favorite Player Flow
 Ø Add Player",https://www.pgatour.com/,Individual,"Windows/ Chrome/ NVDA
macOS/ Safari/ VoiceOver
iPhone/ Safari/ VoiceOver",No role and label for control defined,"1. Go to the URL.
2. Select button ""Manage Profile"" from the user profile dropdown.
3. Navigate through the modal window with the keyboard until you reach the tab ""Favorite Players"" and select it.
4. Navigate through the modal window until reaching the ""Cancel (x)"" button for your favorite player heading.
5. Notice that the screen reader announces the (X) button as plain text.","The screen reader announces the ""Cancel (x)"" as ""plain text"".","The screen reader announces the current ""cancel (x)"" as a ""button"" with appropriate label text.",https://www.screencast.com/t/oZ7A9eb2Ue,4.1.2,A,High,High,,"Visual, Cognitive","1. Instead of using <i> tag, use <button> tag or correct role=""button"" for the ""Close (x)"" button.
2.  Provide an aria-label attribute to the control with enough and relevant value to understand its purpose.

For Role:
https://www.w3schools.com/tags/tag_button.asp

For Label: 
https://www.w3.org/TR/WCAG20-TECHS/ARIA14.html",Open,,,,,,,
65,man-sr-13,(Login) Change Password Flow,https://www.pgatour.com/,Individual,"Windows/ Chrome/ NVDA
macOS/ Safari/ VoiceOver",Unlabelled edit fields,"1. Go to the URL.
2. Navigate through the website until reaching the ""current password, new password, confirm new password"" edit field.
3. The element is announced but its purpose is missing.","The screen reader doesn't announce the purpose of the control when reaching it.

This could potentially confuse the user if they try to access the control in a non-linear way.",The control's name is announced to the user by the screen reader using any navigation system.,https://www.screencast.com/t/R28wDb9Ohk1,4.1.2,A,Low,Critical,,"Visual, Cognitive","(A) Provide a <label> tag with enough and relevant value to understand the control's purpose and associate the tag with the attributes for/id respectively.

Refer to:
https://www.w3schools.com/tags/tag_label.asp

(B) Provide an aria-label attribute to the control with enough and relevant value to understand its purpose.

Refer to:
https://www.w3.org/TR/WCAG20-TECHS/ARIA14.html",Open,,,,,,,
66,man-key-2,PGA Tour – Statistics,https://www.pgatour.com/stats.html ,Global,Windows/ Chrome,Missing tooltip interaction,"1. Go to the URL.
2. Navigate through the page using the keyboard until you reach the text ""fedexcup standings, top 10 finishes, etc"".
3. Use the ENTER or SPACEBAR keys to activate the tooltip.","The tooltip is being displayed only on hover.

This might result in some extra information or hint being unavailable for keyboard-only users.",The tooltip is being displayed whether the element is on hover or on focus status. It can be dismissed by pressing the ESC key and focus goes back to the element which originally opened the tooltip once it's closed.,https://www.screencast.com/t/45h93KWjj,2.1.1,A,High,High,,"Visual, Cognitive, Physical","1. Wrap the dialog inside a <button> and give a ""display:none"" to the hidden elements on the page using CSS instead of using the ""visibility"" property set as ""hidden"".
2. Provide an attribute type=""button"" to the <button> element.
3. The dialog should have a tabindex=-1 attribute and it should gain focus when the button is clicked on by using JS method focus().
4. Provide a role=""status"" so the screen readers can make the announcement.

Refer to:
https://inclusive-components.design/tooltips-toggletips/ 
https://developers.google.com/web/fundamentals/accessibility/focus/using-tabindex
https://css-tricks.com/inclusively-hidden/
",Open,,,,,,,
67,man-key-18,PGA Tour Scheduling-Tournaments-Past winners and runners-up,https://www.pgatour.com/tournaments/wyndham-championship/past-winners-and-runners-up.html,Global,Windows/Chrome,"
Element not triggerable through keyboard","1. Go to the URL.
2. Navigate through the page using the keyboard until you reach the button ""Login"".
3. Notice that focus does not reach the button ""Login"" not triggerable through keyboard
","Focus does not reach button ""Login""

This is important for users with motor impairments who navigate through the page using keyboard only.",Focus reaches the element.,"https://www.screencast.com/t/jTwlPo9wi

https://www.screencast.com/t/fIJAAlvuwm",2.1.1,A,High,Critical,"1. PGA Tour Schedule – Tournaments (Templated) > Video Modal Window:  Focus doesn't visit list of videos and close button
","Visual, Physical","Use the proper <button> tag.

OR

Use a tabindex=""0"" attribute to make the item focusable. 
 Add a role=""button"". Also, make sure the element can be triggered when using the SPACEbar or ENTER key.

Refer to: https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Roles/button_role",Open,,,,,,,
68,man-key-18,PGA Tour Scheduling-Tournaments-Past winners and runners-up,https://www.pgatour.com/tournaments/wyndham-championship/past-winners-and-runners-up.html,Global,Windows/Chrome,"
Element not triggerable through keyboard","1. Go to the URL.
2. Navigate through the page using the keyboard until you reach the Advertisement frame.
3. Notice that focus does not reach the link ""See how""  not triggerable through keyboard
","Focus does not reach link ""See how"".

This is important for users with motor impairments who navigate through the page using keyboard only.",Focus reaches the element.,https://www.screencast.com/t/Xtkpc5yFnPG,2.1.1,A,High,Critical,,"Visual, Physical","Use the proper <a> tag.

OR

Use a tabindex=""0"" attribute to make the item focusable. 
Add a role=""link"". Also, make sure the element can be triggered when using the ENTER key.

Refer to: https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/ARIA_Techniques/Using_the_link_role",Open,,,,,,,
69,man-key-18,PGA Tour Scheduling-Tournaments-Past winners and runners-up,https://www.pgatour.com/tournaments/wyndham-championship/past-winners-and-runners-up.html,Global,Windows/Chrome,"
Element not triggerable through keyboard","1. Go to the URL.
2. Navigate through the page using the keyboard until you reach the footer content and search for the button ""Cookie choices"".
3. Notice that the button ""Cookie choices"" is not triggerable using the keyboard.
","Focus does not reach button ""Cookie choices"".

This is important for users with motor impairments who navigate through the page using keyboard only.",Focus reaches the element.,"https://www.screencast.com/t/uCpKj5SfJFk
https://www.screencast.com/t/0qScK9cI",2.1.1,A,High,Critical,"1. PGA Tour - Fedex Cup (Templated): Button ""show more"" not triggerable through keyboard.
","Visual, Physical","Use the proper <button> tag.

OR

Use a tabindex=""0"" attribute to make the item focusable. 
 Add a role=""button"". Also, make sure the element can be triggered when using the SPACEbar or ENTER key.

Refer to: https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Roles/button_role",Open,,,,,,,
70,man-cc-3,PGA Tour Scheduling-Tournaments-Past winners and runners-up,https://www.pgatour.com/tournaments/wyndham-championship/past-winners-and-runners-up.html,Global,Windows/Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse using tab key until reaching to the table ""Year, winner, score, etc"".
3. Use Colour Contrast Analyzer to measure the contrast ratio and notice the color contrast failed for ""Year, winner, score, etc"".","The color contrast ratio between the table ""Year, winner, score, etc"" and its background is less than 4.5:1.","The color contrast ratio of table ""Year, winner, score, etc"" and its background is of at least 4.5:1.",https://www.screencast.com/t/oN7IWXMCjO,1.4.3,AA,Low,Critical,The color combination used for the element reported on the screenshot was found several times on other similar elements.,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option: 
Foreground: #0071BD
Background: #F2F2F2 

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
71,man-zoom-9,PGA Tour Scheduling-Tournaments-Past winners and runners-up,https://www.pgatour.com/tournaments/wyndham-championship/past-winners-and-runners-up.html,Individual,Windows/Chrome,Content is not visible when zooming browser to 200%,"1. Open the Display Settings.
2. Set the Scale to 100% and Display Resolution to 1366x768.
3. Open the URL in chrome.
4. Press the CTRL and + keys at the same time.
5. Increase the browser zoom to 200%.
6. Search for button ""Search"" and notice that  search button  is not visible at 200% zoom.","""Search"" button goes beyond the user's visual range and it's rendered incomprehensible because the context is lost.",The content adapts itself to the current viewport and has a logic sequence with the context around it without losing coherence.,"https://www.screencast.com/t/gMfwqK8PMu

https://www.screencast.com/t/BvI0c8mYF

https://www.screencast.com/t/nHl0iGUzh
 
https://www.screencast.com/t/NIfWSVt8tK
 
https://www.screencast.com/t/3IUyVxDN
 
https://www.screencast.com/t/bjY9V7AR
 
https://www.screencast.com/t/fxu20vqAGInM

https://www.screencast.com/t/ODNA7Jqy5Yv ",1.4.4,AA,High,Critical,"1. Past Results                                                                         
2. Leaderboards: A similar issue is observed with the Navigation landmark, table header""
3. Leaderboards: A similar issue is observed with the graphics under ""Don't Miss This"".
4. Leaderboards: hamburger menu > tabs ""PGA TOUR, PGA TOUR CHAMPIONS, KORN FERRY TOUR, MACKENZIE TOUR, FORME TOUR, PGA TOUR Latinoamérica"" and its contents aren't visible for ex - edit field ""Your email address "" , button ""Sign up"" graphics ""get the latest advice, What's new, hot on the PGA TOUR etc."" and links also > notice contents are not visible.
5. Leaderboards > Table > button ""icon-article"" > some of header content and graphics inside button are not visible.
6. PGA Tour Schedule: Table
7. PGA Tour Schedule – Tournaments (Templated) : same issue found.","Cognitive, Visual","1. Check the display properties and the DOM structure.
2. Use the CSS media query to adjust the properties when zooming the browser to 200%. 

Also ensure that the height and width of content containers are specified using dynamic units like '%', 'em', 'vh' and 'vw'.

Refer to:
https://developer.mozilla.org/en-US/docs/Web/CSS/@media
https://www.w3.org/Style/Examples/007/units.en.html",Open,,,,,,,
72,man-key-7,PGA Tour Scheduling - Tournaments – Past Results,https://www.pgatour.com/tournaments/wyndham-championship/past-results.html,Global,Windows/Chrome,Focus is not visible on elements,"1. Go to the URL.
2. Navigate the page using the keyboard until you reach Combobox Year ""2020 , Final scores""
3. Notice that focus is not visible on Combobox Year ""2020 , Final scores"" ","Focus is not visible on Combobox Year ""2020 , Final scores"" while the user is navigating through focusable elements with the keyboard.

Having a visual reference as to where the user is positioned on the page is important to make navigation easier for keyboard-only users and people with cognitive disabilities or attention disorders.","Focus border is visible around all the focusable elements.
",https://www.screencast.com/t/wksUp1mV6,2.4.7,AA,Low,High,,"Cognitive, Visual, Physical","Provide a visible border/outline on each interactive element using CSS.

Refer to:
https://www.w3.org/TR/UNDERSTANDING-WCAG20/navigation-mechanisms-focus-visible.html
https://www.w3.org/TR/2016/NOTE-WCAG20-TECHS-20161007/C15",Open,,,,,,,
73,man-key-18,PGA Tour Scheduling - Tournaments – Past Results,https://www.pgatour.com/tournaments/wyndham-championship/past-results.html,Global,Windows/Chrome,"
Element not triggerable through keyboard","1. Go to the URL.
2. Navigate through the page using the keyboard until you reach  total score ""Toggle button , print  button and Sort table""
3. Notice that focus does not reach the button.
","Focus does not reach Total score ""toggle button, Print button , Sort table"".

This is important for users with motor impairments who navigate through the page using keyboard only.",Focus reaches the element.,https://www.screencast.com/t/i2iSxJ2oF,2.1.1,A,High,Critical,Observation: This issue is observed throughout the application with similar elements.,"Visual, Physical","Use the proper <button> tag.

OR

Use a tabindex=""0"" attribute to make the item focusable. 
 Add a role=""button"". Also, make sure the element can be triggered when using the SPACEbar or ENTER key.

Refer to: https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Roles/button_role",Open,,,,,,,
74,man-cc-3,PGA Tour Scheduling - Tournaments – Past Results,https://www.pgatour.com/tournaments/wyndham-championship/past-results.html,Individual,Windows/Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching Text ""Past results , Wyandham championship , Ending: 8/16/20 etc.
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the text ""Past results, Wyandham championship, Ending: 8/16/20 etc. and its background is less than 4.5:1.","The color contrast ratio of text ""Past results, Wyandham championship, Ending: 8/16/20 etc. and its background is of at least 4.5:1.",https://www.screencast.com/t/A7OPGcux,1.4.3,AA,Low,High,,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option: 
Foreground: #0071BD
Background: #F2F2F2

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
75,man-cc-3,PGA Tour Scheduling - Tournaments – Past Results,https://www.pgatour.com/tournaments/wyndham-championship/past-results.html,Global,Windows/Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching total score ""Toggle button , Print button"".
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the ""Toggle button, Print button"" and its background is less than 4.5:1.","The color contrast ratio of ""Toggle button , Print button"" and its background is of at least 4.5:1.",https://www.screencast.com/t/Ph4yvc6ii,1.4.3,AA,Low,High,,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #6E6E6E
Background: #F2F2F2

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
76,man-cc-1,PGA Tour – Players,https://www.pgatour.com/players.html,Individual,Windows/Chrome,Insufficient non-text contrast,"1. Go to the URL.
2. Browse through the page until reaching Live tournament link and search for the Dropdown icon.
3. Use Colour Contrast Analyzer to measure the contrast ratio.",The color contrast ratio between the Dropdown icon and its background is less than 3.0:1.,The color contrast ratio between the Dropdown icon and its background is of at least of 3.0:1.,https://www.screencast.com/t/UHadZCMdw,1.4.11,AA,Low,High,,Visual,"Make sure that the element has a contrast ratio of at least 3.0:1.

Good color option:
Foreground: #959393
Background: #FFFFFF

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)",Open,,,,,,,
77,man-cc-3,PGA Tour – Players,https://www.pgatour.com/players.html,Individual,Windows/Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching tab ""PGA Tour"" and search for text ""Player directory"".
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the text ""Player directory"" and its background is less than 4.5:1.","The color contrast ratio of text ""Player directory"" and its background is of at least 4.5:1.",https://www.screencast.com/t/nAzC24ZalxS,1.4.3,AA,Low,High,,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option: 
Foreground: #757575
Background: #FFFFFF

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
78,man-cc-3,PGA Tour – Players,https://www.pgatour.com/players.html,Individual,Windows/Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching tab ""PGA Tour"" and search for edit field ""Find a player"".
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the edit field ""Find a player"" and its background is less than 4.5:1.","The color contrast ratio of edit field ""Find a player"" and its background is of at least 4.5:1.",https://www.screencast.com/t/vs2Eyszs,1.4.3,AA,Low,High,,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #72729D
Background: #FFFFFF

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
79,man-cc-3,PGA Tour – Players,https://www.pgatour.com/players.html,Global,Windows/Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching  ""Fedexcup"" list and search for tab ""Comcast Business top 10"".
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the tab ""Comcast Business top 10"" and its background is less than 4.5:1.","The color contrast ratio of tab ""Comcast Business top 10"" and its background is of at least 4.5:1.",https://www.screencast.com/t/FMuxsaNd,1.4.3,AA,Low,High,Observation: This issue is observed throughout the application with similar elements.,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #73808C
Background: #001629

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
